"start_station_name","end_station_name","total_trips_2014","avg_duration.x","total_trips_2015","avg_duration.y","trip_change","percent_change"
"Civic Center BART (7th at Market)","Temporary Transbay Terminal (Howard at Beale)",4,679.25,8,501,4,100
"Civic Center BART (7th at Market)","Townsend at 7th",31,489.290322580645,25,475.24,-6,-19.3548387096774
"Civic Center BART (7th at Market)","Washington at Kearny",2,636,4,478.5,2,100
"Civic Center BART (7th at Market)","Yerba Buena Center of the Arts (3rd @ Howard)",NA,NA,1,532,NA,NA
"Clay at Battery","2nd at Folsom",2,647,NA,NA,NA,NA
"Clay at Battery","2nd at Townsend",2,654.5,6,714.333333333333,4,200
"Clay at Battery","5th at Howard",2,14797,1,513,-1,-50
"Clay at Battery","Beale at Market",2,180.5,NA,NA,NA,NA
"Clay at Battery","Broadway St at Battery St",1,324,1,206,0,0
"Clay at Battery","Civic Center BART (7th at Market)",2,556.5,1,811,-1,-50
"Clay at Battery","Clay at Battery",1,299,2,508,1,100
"Clay at Battery","Commercial at Montgomery",2,190,2,172,0,0
"Clay at Battery","Davis at Jackson",NA,NA,2,134,NA,NA
"Clay at Battery","Embarcadero at Bryant",2,550,NA,NA,NA,NA
"Clay at Battery","Embarcadero at Folsom",3,371.333333333333,2,344,-1,-33.3333333333333
"Clay at Battery","Embarcadero at Sansome",5,3868.2,12,636.75,7,140
"Clay at Battery","Embarcadero at Vallejo",NA,NA,2,604,NA,NA
"Clay at Battery","Golden Gate at Polk",1,693,2,890,1,100
"Clay at Battery","Grant Avenue at Columbus Avenue",9,1056.33333333333,3,413.666666666667,-6,-66.6666666666667
"Clay at Battery","Harry Bridges Plaza (Ferry Building)",4,388.25,5,231,1,25
"Clay at Battery","Howard at 2nd",1,374,1,385,0,0
"Clay at Battery","Market at 10th",2,1384,2,799,0,0
"Clay at Battery","Market at 4th",4,470.75,2,375.5,-2,-50
"Clay at Battery","Market at Sansome",2,207.5,6,327.833333333333,4,200
"Clay at Battery","Mechanics Plaza (Market at Battery)",1,216,4,516.75,3,300
"Clay at Battery","Post at Kearny",1,776,NA,NA,NA,NA
"Clay at Battery","Powell at Post (Union Square)",1,875,NA,NA,NA,NA
"Clay at Battery","Powell Street BART",7,466.142857142857,7,539.142857142857,0,0
"Clay at Battery","San Francisco Caltrain (Townsend at 4th)",11,1158.72727272727,23,999.173913043478,12,109.090909090909
"Clay at Battery","San Francisco Caltrain 2 (330 Townsend)",5,970.2,5,832,0,0
"Clay at Battery","South Van Ness at Market",1,998,NA,NA,NA,NA
"Clay at Battery","Spear at Folsom",3,769,1,259,-2,-66.6666666666667
"Clay at Battery","Steuart at Market",4,343.75,2,244,-2,-50
"Clay at Battery","Temporary Transbay Terminal (Howard at Beale)",5,1138,10,280.8,5,100
"Clay at Battery","Townsend at 7th",NA,NA,1,1155,NA,NA
"Clay at Battery","Washington at Kearny",5,650.8,1,166,-4,-80
"Clay at Battery","Yerba Buena Center of the Arts (3rd @ Howard)",NA,NA,1,579,NA,NA
"Commercial at Montgomery","2nd at Folsom",4,1010,NA,NA,NA,NA
"Commercial at Montgomery","2nd at South Park",2,743,5,264.8,3,150
"Commercial at Montgomery","2nd at Townsend",1,775,3,813.333333333333,2,200
"Commercial at Montgomery","5th at Howard",4,644.5,1,576,-3,-75
"Commercial at Montgomery","Beale at Market",3,250.333333333333,NA,NA,NA,NA
"Commercial at Montgomery","Broadway St at Battery St",NA,NA,2,208,NA,NA
"Commercial at Montgomery","Civic Center BART (7th at Market)",2,1308,NA,NA,NA,NA
"Commercial at Montgomery","Clay at Battery",1,1159,4,263.75,3,300
"Commercial at Montgomery","Commercial at Montgomery",2,1724,7,3973,5,250
"Commercial at Montgomery","Davis at Jackson",6,253.5,7,10655.4285714286,1,16.6666666666667
"Commercial at Montgomery","Embarcadero at Bryant",6,609.166666666667,5,614.4,-1,-16.6666666666667
"Commercial at Montgomery","Embarcadero at Folsom",1,406,1,468,0,0
"Commercial at Montgomery","Embarcadero at Sansome",3,330,4,684.25,1,33.3333333333333
"Commercial at Montgomery","Embarcadero at Vallejo",NA,NA,1,524,NA,NA
"Commercial at Montgomery","Golden Gate at Polk",1,924,1,2189,0,0
"Commercial at Montgomery","Harry Bridges Plaza (Ferry Building)",1,538,4,847.75,3,300
"Commercial at Montgomery","Howard at 2nd",1,304,3,469,2,200
"Commercial at Montgomery","Market at 10th",1,1089,1,806,0,0
"Commercial at Montgomery","Market at 4th",9,396.777777777778,7,1249.57142857143,-2,-22.2222222222222
"Commercial at Montgomery","Market at Sansome",11,295.727272727273,12,305.5,1,9.09090909090909
"Commercial at Montgomery","Mechanics Plaza (Market at Battery)",6,287,3,256,-3,-50
"Commercial at Montgomery","Post at Kearny",2,305.5,3,266.666666666667,1,50
"Commercial at Montgomery","Powell at Post (Union Square)",3,5790.66666666667,2,541,-1,-33.3333333333333
"Commercial at Montgomery","Powell Street BART",5,520.2,3,437.333333333333,-2,-40
"Commercial at Montgomery","San Francisco Caltrain (Townsend at 4th)",13,1134.69230769231,11,843.090909090909,-2,-15.3846153846154
"Commercial at Montgomery","San Francisco Caltrain 2 (330 Townsend)",9,890.777777777778,2,711,-7,-77.7777777777778
"Commercial at Montgomery","San Francisco City Hall",2,876,5,904.6,3,150
"Commercial at Montgomery","South Van Ness at Market",2,767,1,968,-1,-50
"Commercial at Montgomery","Spear at Folsom",5,518,2,456.5,-3,-60
"Commercial at Montgomery","Steuart at Market",2,341.5,1,212,-1,-50
"Commercial at Montgomery","Temporary Transbay Terminal (Howard at Beale)",12,343.166666666667,13,349.230769230769,1,8.33333333333333
"Commercial at Montgomery","Townsend at 7th",1,1243,NA,NA,NA,NA
"Commercial at Montgomery","Yerba Buena Center of the Arts (3rd @ Howard)",1,460,8,360.25,7,700
"Cowper at University","Cowper at University",2,4766,NA,NA,NA,NA
"Cowper at University","Palo Alto Caltrain Station",14,298.5,9,248.555555555556,-5,-35.7142857142857
"Cowper at University","Park at Olive",2,1008.5,3,2072.66666666667,1,50
"Cowper at University","University and Emerson",1,222,3,285.666666666667,2,200
"Davis at Jackson","2nd at Folsom",3,554,NA,NA,NA,NA
"Davis at Jackson","2nd at South Park",NA,NA,1,472,NA,NA
"Davis at Jackson","2nd at Townsend",5,642.6,8,723,3,60
"Davis at Jackson","Beale at Market",NA,NA,9,228.444444444444,NA,NA
"Davis at Jackson","Broadway St at Battery St",1,228,1,132,0,0
"Davis at Jackson","Civic Center BART (7th at Market)",NA,NA,3,844.666666666667,NA,NA
"Davis at Jackson","Clay at Battery",3,579.666666666667,NA,NA,NA,NA
"Davis at Jackson","Commercial at Montgomery",4,239.5,5,221.8,1,25
"Davis at Jackson","Davis at Jackson",5,754.8,5,2721.2,0,0
"Davis at Jackson","Embarcadero at Bryant",2,611,NA,NA,NA,NA
"Davis at Jackson","Embarcadero at Folsom",1,324,NA,NA,NA,NA
